artist,track,album,album_type,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,stream,duration_min,is_feat
Gorillaz,Feel Good Inc.,Demon Days,album,0.818,0.705,6,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,1040234854,3.7106666666666666,0
Gorillaz,Rhinestone Eyes,Plastic Beach,album,0.676,0.703,8,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,310083733,3.3362166666666666,0
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),single,0.695,0.923,1,-3.93,0.0522,0.0425,0.0469,0.116,0.551,108.014,63063467,3.5858333333333334,1
Gorillaz,On Melancholy Hill,Plastic Beach,album,0.689,0.739,2,-5.81,0.026,1.51e-05,0.509,0.064,0.578,120.423,434663559,3.8977833333333334,0
Gorillaz,Clint Eastwood,Gorillaz,album,0.663,0.694,10,-8.627,0.171,0.0253,0.0,0.0698,0.525,167.953,617259738,5.682,0
Gorillaz,DARE,Demon Days,album,0.76,0.891,11,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,323850327,4.083333333333333,0
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,0.716,0.897,4,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,10666154,4.5690333333333335,1
Gorillaz,She's My Collar (feat. Kali Uchis),Humanz (Deluxe),album,0.726,0.815,11,-5.886,0.0313,0.00799,0.081,0.112,0.462,140.158,159605929,3.4926666666666666,1
Gorillaz,Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),single,0.741,0.913,2,-3.34,0.0465,0.00343,0.103,0.325,0.643,120.012,42671901,3.5625,1
Gorillaz,Dirty Harry,Demon Days,album,0.625,0.877,10,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,191074713,3.8404333333333334,0
Red Hot Chili Peppers,Californication,Californication (Deluxe Edition),album,0.592,0.767,9,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,1055738398,5.49555,0
Red Hot Chili Peppers,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),album,0.559,0.345,4,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,1061750522,4.405116666666666,0
Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),album,0.618,0.938,9,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,866464951,4.483333333333333,0
Red Hot Chili Peppers,Scar Tissue,Californication (Deluxe Edition),album,0.595,0.717,0,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,613838674,3.59845,0
Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),album,0.458,0.795,0,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,732774515,4.256216666666667,0
Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,album,0.427,0.9,11,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,860722316,5.5777833333333335,0
Red Hot Chili Peppers,Dani California,Stadium Arcadium,album,0.556,0.913,0,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,550067391,4.7026666666666666,0
Red Hot Chili Peppers,By the Way,By the Way (Deluxe Edition),album,0.451,0.97,0,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,367485508,3.61555,0
Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),album,0.666,0.936,7,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,301947159,4.715116666666667,0
Red Hot Chili Peppers,Dark Necessities,The Getaway,album,0.7,0.742,5,-6.777,0.0716,0.0722,0.0199,0.11,0.197,91.959,385677873,5.033333333333333,0
